epoch,test_acc,train_acc,test_clik,train_clik,test_plik,train_plik,accept_prob
39,0.97060546875,0.9842087765957447,-0.010112415,-0.005765546,4694.000712503836,4449.192095865653,0.851063829787234
40,0.970703125,0.9852726063829788,-0.009956318,-0.0054917997,4695.52778426184,4465.582967672484,0.8851063829787233
41,0.97119140625,0.9861369680851064,-0.009823877,-0.005229033,4696.808168332829,4481.304971616521,0.8553191489361702
42,0.971484375,0.9870511968085106,-0.009698986,-0.004970801,4698.057084958806,4496.798868100896,0.825531914893617
43,0.971875,0.9878989361702127,-0.009589856,-0.004724494,4699.265770979238,4511.694657392813,0.8425531914893617
44,0.9728515625,0.9884474734042553,-0.0094930725,-0.004494952,4700.268329118308,4525.501941178855,0.8936170212765957
45,0.973046875,0.9890458776595744,-0.0094159525,-0.004277679,4700.763738676243,4538.262525602512,0.8723404255319149
46,0.97392578125,0.9896442819148936,-0.009344603,-0.004062487,4701.340198877034,4551.037021997151,0.902127659574468
47,0.97421875,0.9901429521276596,-0.0092930775,-0.0038581404,4701.707881505867,4563.150226171394,0.851063829787234
48,0.9748046875,0.9906748670212766,-0.009238941,-0.0036653492,4702.245472750986,4574.7139175752045,0.8297872340425532
49,0.97490234375,0.9911901595744681,-0.009212315,-0.0034843783,4702.419472243875,4585.479927566141,0.8893617021276595
50,0.97470703125,0.9917553191489362,-0.009183009,-0.0033024854,4702.816795222181,4596.497764460462,0.8212765957446808
51,0.97509765625,0.9923869680851064,-0.009191464,-0.00313469,4702.672446860044,4606.505675924986,0.8936170212765957
52,0.975,0.99296875,-0.009191127,-0.0029733542,4702.769021154363,4616.279038549383,0.9319148936170213
53,0.9751953125,0.9933178191489361,-0.009208227,-0.0028160745,4702.814833556557,4625.9326237787245,0.8680851063829788
54,0.97490234375,0.9937666223404256,-0.009254127,-0.0026696906,4702.342496021023,4634.7023211553005,0.851063829787234
55,0.97470703125,0.9941821808510638,-0.009288389,-0.0025289191,4701.911588242134,4643.060330917915,0.8936170212765957
